patient,paired_normal,paired_tumor
TCGA-BT-A20Q,3828.70867866,12916.0460237
TCGA-BT-A20N,0.0,20553.0130717
TCGA-CU-A0YR,11580.9547339,18702.3067799
TCGA-BT-A2LB,4930.82666542,28418.9810374
TCGA-K4-A54R,7093.51778581,21469.5050453
TCGA-BT-A2LA,0.0,32193.9566517
TCGA-BT-A20U,9462.01107686,14342.2894955
TCGA-GC-A3WC,11149.473559,44121.1751307
TCGA-GD-A2C5,7532.51787969,26096.6543322
TCGA-K4-A3WV,13797.6754859,35849.7762009
TCGA-BT-A20R,538.145357366,9513.91718191
TCGA-BL-A13J,3117.20698254,39900.2493766
TCGA-GD-A3OP,13587.5349766,13091.6742506
TCGA-K4-A5RI,27257.7326384,21390.8257061
TCGA-CU-A0YN,4091.49398857,27708.5065115
TCGA-GC-A3BM,2952.94918417,22602.1050094
TCGA-GC-A6I3,102396.624717,196032.971238
TCGA-BT-A20W,2861.87414837,16355.2424072
TCGA-GD-A3OQ,4593.72376227,13082.0489759
