patient,paired_normal,paired_tumor
TCGA-E9-A1NG,0.0,4701.15262468
TCGA-BH-A0DO,13260.9318031,15224.172479700002
TCGA-BH-A0DT,7689.12940285,7882.30924073
TCGA-BH-A0AU,26182.562610900004,8938.22790694
TCGA-BH-A0E0,3532.24587257,4250.49528896
TCGA-E2-A1BC,4698.12657505,4099.05993184
TCGA-E9-A1RD,3882.25357832,9709.66483855
TCGA-BH-A1FD,5152.40823561,5607.3278055
TCGA-AC-A2FF,13979.2711276,8389.79130194
TCGA-BH-A0E1,5676.24943711,2669.98456749
TCGA-BH-A0B5,4743.81754566,14917.839996200002
TCGA-A7-A0CH,4294.65944782,5060.05867981
TCGA-E9-A1R7,3017.86880117,910.050391765
TCGA-GI-A2C8,1458.34244797,7115.47750295
TCGA-BH-A1EN,7013.77338978,3121.94565005
TCGA-BH-A18J,13457.6744436,10610.7868798
TCGA-BH-A18U,13944.6351502,8709.84303946
TCGA-BH-A1FH,1309.06329976,8391.38006925
TCGA-BH-A18N,5692.13633398,29660.9350655
TCGA-BH-A0H9,3504.9410907,511.699104552
TCGA-E9-A1RC,1823.2612583,16071.5290185
TCGA-A7-A13F,10729.5167877,3188.95854992
TCGA-BH-A1F0,4204.69366131,4207.99930147
TCGA-BH-A1FN,5352.95990133,14205.9711403
TCGA-BH-A0BW,21016.986979700006,13083.5281764
TCGA-BH-A1FE,10080.9119193,5052.19932341
TCGA-E9-A1N6,3991.3934154,7352.62580649
TCGA-E2-A1LH,7808.97329121,27487.9244021
TCGA-BH-A1F6,5700.03562522,7389.84739657
TCGA-BH-A0BV,4803.16358522,2066.08582107
TCGA-E9-A1RF,3204.32455642,16227.4580871
TCGA-BH-A0B7,23871.0758745,3675.40985414
TCGA-E9-A1NA,7331.72947678,11387.0574705
TCGA-A7-A13G,8189.70635808,18049.8377681
TCGA-E2-A15I,5535.55069042,11440.3008799
TCGA-BH-A204,1936.34132663,8160.99069764
TCGA-E2-A1IG,6711.79003105,21177.379666
TCGA-A7-A0D9,1982.58824913,10097.238935299998
TCGA-BH-A0BT,7027.51976741,18021.792853
TCGA-BH-A0DP,10679.93827,6609.64926172
TCGA-BH-A0C3,17128.8949344,10273.535588600002
TCGA-BH-A1EV,5338.69892348,13654.7699905
TCGA-BH-A1EU,15122.896216100002,6040.0014194
TCGA-BH-A1FG,4373.58866344,5358.22276519
TCGA-E2-A15K,8084.52683752,19398.9942865
TCGA-BH-A1ET,10794.1869294,6855.52448327
TCGA-E9-A1ND,12988.3624273,9652.04071488
TCGA-BH-A18M,12020.7806514,4223.53975806
TCGA-BH-A1F8,8901.00744569,2919.24563773
TCGA-E9-A1NF,11149.910844700002,10086.792974
TCGA-BH-A203,6290.57985666,5899.18162468
TCGA-BH-A1EW,10288.3423693,8862.99029829
TCGA-BH-A0DV,6092.26120367,2746.43787008
TCGA-E2-A1LB,17296.619731799998,9102.441608600002
TCGA-BH-A0DH,11937.0850506,5632.73540994
TCGA-BH-A1FM,9646.34460119,3409.44513716
TCGA-E2-A158,1604.99796366,15707.385372600002
TCGA-BH-A1FC,2953.38633431,22613.8843011
TCGA-E2-A15M,592.695326449,5999.73676155
TCGA-BH-A18V,33376.1555707,16754.4363984
TCGA-BH-A1FJ,2281.2805936,8710.93190595
TCGA-BH-A0BZ,6391.92936735,12428.7352359
TCGA-BH-A1FR,9233.88886461,8312.55195345
TCGA-BH-A1F2,7809.10154334,3799.15537178
TCGA-A7-A0DC,3459.15929169,3266.94181577
TCGA-E2-A1LS,485.404493632,4662.48907645
TCGA-BH-A0BQ,8051.33099236,5639.16841063
TCGA-BH-A0BC,5154.77498262,9497.7979949
TCGA-BH-A18Q,11126.0310762,20333.8611448
TCGA-BH-A0DD,5778.62492419,10420.8954358
TCGA-BH-A0BJ,8081.06316487,2381.59257572
TCGA-A7-A0CE,13059.472243,8750.05468784
TCGA-E2-A153,11684.3099747,5126.68402415
TCGA-BH-A0AY,4856.40815197,12892.2201604
TCGA-BH-A0C0,14186.091657100002,6365.33738169
TCGA-BH-A0H5,10592.4509116,12555.752369700003
TCGA-BH-A0B3,16390.1780219,19834.1710728
TCGA-E9-A1RB,3458.22654458,14120.611035
TCGA-BH-A0AZ,12213.4556751,8220.85777062
TCGA-BH-A208,12101.86806,6822.88806029
TCGA-GI-A2C9,3940.84321434,9283.83837766
TCGA-BH-A0HK,1929.41244567,7611.38219933
TCGA-BH-A0BA,5923.43369604,5239.00333201
TCGA-BH-A0HA,17933.5919092,9587.94890702
TCGA-E2-A1L7,7989.63744024,27464.3787008
TCGA-E9-A1N5,22265.764161000006,18835.0875078
TCGA-BH-A1EO,2517.84245451,768.850188388
TCGA-BH-A1FB,8408.65081996,6076.25268204
TCGA-A7-A0DB,2030.75373456,9975.06234414
TCGA-E9-A1RI,993.928093278,11191.7673359
TCGA-E9-A1RH,1613.73959407,3395.47692763
TCGA-BH-A0DQ,6595.88586826,5744.80030291
