patient,paired_normal,paired_tumor
TCGA-AA-3496,5975.47664385,37881.3343193
TCGA-A6-2686,5738.79109757,36926.4400696
TCGA-AZ-6600,4400.76279889,9260.37897829
TCGA-A6-2680,5737.59076477,26264.7151523
TCGA-AA-3655,7169.73900846,23655.2901321
TCGA-AA-3518,5008.18995564,20903.315893
TCGA-AA-3525,18654.0160197,17398.3645537
TCGA-AA-3514,7939.01129385,48935.74540880001
TCGA-AA-3712,12346.9827061,12589.2468127
TCGA-A6-2675,2229.23026165,17591.4615268
TCGA-AZ-6599,7289.25297773,22228.5511847
TCGA-AA-3697,6161.59511374,32076.8000842
TCGA-A6-2684,4030.87109812,27620.8213643
TCGA-A6-5662,7975.40963698,19493.7417922
TCGA-AA-3516,3864.80524763,6236.36282847
TCGA-AA-3660,7853.0056943,30301.7017952
TCGA-AA-3517,6722.94820103,48181.6535944
TCGA-A6-2682,11846.8673921,48841.0310629
TCGA-AA-3520,7135.87577154,27050.143236900003
TCGA-AA-3511,13787.646268900002,18097.4030509
TCGA-F4-6704,7526.45549105,8056.26918727
TCGA-A6-2683,3593.32217008,53919.2559143
TCGA-AZ-6601,11252.558716,21734.5295656
TCGA-A6-5667,15182.743294,14874.4907632
TCGA-A6-2685,8843.14037601,22719.193441900006
TCGA-AZ-6603,10221.747176,14938.3187482
TCGA-AA-3534,10065.6532231,16588.2411488
TCGA-AA-3663,10137.2584798,6153.6473437
TCGA-AA-3662,6468.91202603,24524.6098006
TCGA-A6-5665,12563.0508113,15032.1170576
TCGA-AA-3713,6411.73861105,21429.2406474
TCGA-AA-3527,4058.56966986,46778.988215
TCGA-AZ-6598,15248.8017961,9136.06686992
TCGA-A6-2679,11826.5789879,6112.17055401
TCGA-A6-5659,8906.30566441,2249.92947877
TCGA-AA-3489,6688.68731167,22234.0856575
TCGA-A6-2678,9685.51638076,18457.1466072
TCGA-AZ-6605,2423.092067400001,25970.1267532
TCGA-AA-3522,8518.7965003,2793.35265868
TCGA-AA-3531,11431.8003289,85794.6875929
TCGA-A6-2671,2244.61348878,9750.79408029
