patient,paired_normal,paired_tumor
TCGA-CV-6961,852.2780540110001,1823.46123577
TCGA-CV-6933,1648.49815636,1623.54530341
TCGA-CV-7255,4231.65228302,4358.46009793
TCGA-CV-7178,10472.9292904,3344.25022015
TCGA-CV-7424,4125.33595705,24096.8302927
TCGA-CV-6938,1999.01048981,6049.15848644
TCGA-CV-7245,1468.93712117,2603.36735153
TCGA-CV-7183,866.492559428,1684.97674732
TCGA-HD-8635,7875.04921906,8492.7001382
TCGA-CV-7425,4082.00614274,3866.30323416
TCGA-CV-6962,1547.80112922,2770.85065115
TCGA-CV-6934,895.1060969260001,3807.01151154
TCGA-CV-6939,999.906008835,6911.316426899999
TCGA-CV-7432,2824.83641372,2199.33024896
TCGA-CV-7238,4323.02107535,29856.3655796
TCGA-CV-7440,873.7791121360001,1067.53663786
TCGA-WA-A7GZ,8219.39876742,14047.8616048
TCGA-CV-7252,2559.02061163,2741.90828591
TCGA-CV-6955,3104.27251374,4781.14507628
TCGA-CV-7423,2532.06303951,4829.23943503
TCGA-CV-6936,1723.80109634,7625.58077326
TCGA-CV-6943,3884.87433888,2080.044696
TCGA-CV-7261,1441.20530882,7033.69780677
TCGA-CV-7406,1483.72190155,2144.06808188
TCGA-CV-7235,3459.78775191,3676.31290325
TCGA-CV-7242,2594.42944864,16957.3578286
TCGA-CV-7177,6099.25991026,3881.34721562
TCGA-CV-7103,595.810676391,4860.71080825
TCGA-H7-A6C4,2357.0563195,8777.298664799999
TCGA-CV-6935,2873.00182723,2681.46837208
TCGA-CV-7250,2871.34782503,7774.329165100001
TCGA-CV-7091,1062.08074363,4940.59551468
TCGA-HD-A6I0,22346.52328,31480.0266075
TCGA-CV-6959,2403.39782771,5048.10847375
TCGA-HD-A6HZ,17812.611328799998,15395.990653100003
TCGA-CV-7097,6798.70661405,501.360190196
TCGA-CV-6960,2261.57701273,3202.41407122
TCGA-CV-7434,2318.48790074,2649.84123476
TCGA-CV-6956,806.521858355,6085.3235384
TCGA-CV-7437,3077.90868417,2958.90553635
TCGA-CV-7438,2373.88442269,2283.66811908
TCGA-CV-7101,1034.43558479,1080.01974276
TCGA-CV-7416,2565.60245477,6250.59855062
