patient,paired_normal,paired_tumor
TCGA-DD-A1EH,5101.02906885,7128.96154337
TCGA-DD-A114,4238.93521339,6938.13954779
TCGA-DD-A11A,1861.01909406,6652.01252944
TCGA-DD-A11C,2581.53787374,4575.11704947
TCGA-BC-A10Y,5225.82897325,13037.5929214
TCGA-DD-A3A6,0.0,68451.0467641
TCGA-ES-A2HT,5945.62639722,6541.88243976
TCGA-BD-A3EP,2633.33219222,21497.97919
TCGA-DD-A3A4,5103.20379134,3789.917304
TCGA-DD-A1EJ,3143.23691323,14421.3425053
TCGA-DD-A113,1480.85842401,7107.50652841
TCGA-DD-A39X,1119.28437434,3616.77387387
TCGA-BC-A10R,5019.65697672,5972.19718254
TCGA-DD-A119,0.0,1086.13483712
TCGA-DD-A39V,4495.97160944,7266.21674253
TCGA-DD-A118,3598.50733916,2475.5087093
TCGA-BD-A2L6,19482.5436409,13506.1773879
TCGA-DD-A116,5683.14855523,3919.47439848
TCGA-FV-A23B,2621.33733641,10097.4944645
TCGA-DD-A1EE,5166.64140753,3392.87834835
TCGA-BC-A10T,4994.19009219,3876.82174277
TCGA-DD-A3A8,0.0,5441.33883054
TCGA-DD-A39W,2208.82691411,5220.72348786
TCGA-BC-A110,0.0,5633.50659496
TCGA-BC-A10W,4846.96906907,3058.58412024
TCGA-FV-A3I0,5603.96760907,19462.8330172
TCGA-FV-A3R2,8249.69711826,6525.61974626
TCGA-DD-A1EB,2714.54889626,2783.22052013
TCGA-EP-A3RK,0.0,15998.4961414
TCGA-DD-A11B,1963.59494963,1548.20151236
TCGA-DD-A11D,1169.95805115,6917.51896265
TCGA-FV-A2QR,946.759903582,8642.40369445
TCGA-DD-A1EI,944.608176528,12479.6798257
TCGA-BC-A10Z,2095.6013328,5413.38405073
TCGA-DD-A1EG,4017.88225462,6377.011017
TCGA-DD-A3A3,3160.666142,16810.0140616
TCGA-FV-A3I1,2645.20348558,13620.9317398
TCGA-G3-A3CH,0.0,14362.9407403
TCGA-BC-A10X,2530.88523617,1504.30739619
TCGA-DD-A3A5,0.0,2301.05244386
TCGA-EP-A12J,1651.5003881,5995.65828688
TCGA-BC-A216,5311.53479454,24654.4627076
TCGA-DD-A3A2,0.0,8257.50194051
TCGA-BC-A10U,0.0,12101.2523889
TCGA-DD-A1EC,2292.06395775,11394.4902756
TCGA-DD-A39Z,1513.20727308,29512.0187696
TCGA-EP-A26S,0.0,11971.0829042
TCGA-DD-A1EL,6222.74631575,28343.357734099995
TCGA-DD-A3A1,1889.21635306,24757.60058340001
TCGA-BC-A10Q,1397.85066482,5201.44040889
