patient,paired_normal,paired_tumor
TCGA-91-6847,2015.97864675,29906.982782
TCGA-44-2665,2731.64646576,26671.2896902
TCGA-49-4512,2324.64748174,21219.2371583
TCGA-50-5932,4109.19149089,7627.02746138
TCGA-44-2662,595.455010992,13039.2971819
TCGA-44-6776,4605.29194097,6905.20534108
TCGA-44-3398,3081.98430477,16830.2222405
TCGA-55-6983,3413.00034585,8976.98484705
TCGA-49-6743,889.360052081,6671.39001079
TCGA-44-3396,2646.70746755,27162.0879011
TCGA-44-2657,6322.22261248,27267.814559
TCGA-44-2668,3091.44494137,27823.0044723
TCGA-55-6975,14115.6542606,5502.57190211
TCGA-44-2655,1188.35624781,5618.45006462
TCGA-73-4676,2309.04220929,2900.1489589000007
TCGA-55-6984,4225.52768038,8527.51643013
TCGA-55-6978,4770.01833595,12653.1715502
TCGA-91-6828,3294.27422197,13082.0489759
TCGA-55-6982,10937.5683598,6685.69862208
TCGA-55-6970,5814.10278462,2955.94938655
TCGA-44-6146,964.333173254,4605.29194097
TCGA-55-6972,13125.0820318,20944.2798379
TCGA-50-5931,0.0,48529.0227038
TCGA-49-6745,3535.37563145,4581.72154915
TCGA-55-6979,3844.44848823,19692.3341324
TCGA-50-5936,843.2005362760001,6982.5436408999985
TCGA-38-4626,4759.09462984,13546.8079685
TCGA-49-6761,2361.52044132,9355.71407254
TCGA-55-6985,3470.44912569,6343.15374355
TCGA-50-5930,2024.57120847,7024.69179165
TCGA-44-6148,6869.149829100002,8650.82124575
TCGA-55-6971,12708.1650384,20699.4445822
TCGA-44-6777,4012.49490915,4262.84715562
TCGA-50-5939,1644.96410688,2789.96709234
TCGA-55-6986,5713.47910547,7483.16754999
TCGA-55-6980,10834.6079046,4605.29194097
TCGA-91-6836,2054.17264089,17519.186529799998
TCGA-50-6595,3171.57687177,2645.90513107
TCGA-91-6829,19836.281680400003,10572.4031204
TCGA-49-6742,4808.03133554,7313.09556022
TCGA-91-6835,11078.1273059,14749.2960048
TCGA-91-6849,7494.41197907,12828.0122738
TCGA-91-6831,2913.27755378,21062.2093415
TCGA-55-6968,11441.6773499,10880.303604
TCGA-44-6145,1741.76049313,12520.998758299998
TCGA-49-4490,2789.44696424,26371.612278
TCGA-38-4632,3545.63827398,6318.66280245
TCGA-44-6778,2238.56874868,18779.5337511
TCGA-55-6981,5601.4501034,4636.32923269
TCGA-44-2661,3468.38050909,24343.9021494
TCGA-38-4625,2953.8236139,9342.13284396
TCGA-38-4627,726.621674253,4846.498078000001
TCGA-49-6744,0.0,3852.86301435
TCGA-50-5935,2829.53735178,13409.5948165
TCGA-50-5933,4490.57428458,9726.34578757
TCGA-44-5645,9172.75227821,11450.3494767
TCGA-44-6147,9895.89518268,25157.7864922
