patient,paired_normal,paired_tumor
TCGA-G9-6496,10400.4403546,27957.0132964
TCGA-EJ-7792,8804.97853053,13703.1495028
TCGA-CH-5769,22483.9703955,12535.9849926
TCGA-G9-6342,1556.01014104,10361.2545595
TCGA-G9-6362,78990.6978214,26112.7286496
TCGA-EJ-7784,4159.42705783,16094.001846
TCGA-EJ-7125,6346.70176555,2278.71212887
TCGA-HC-7211,11773.4580633,3090.40735625
TCGA-G9-6356,66797.2924831,11816.5541416
TCGA-G9-6365,21983.1239954,3996.41920839
TCGA-HC-7740,16250.8420891,12087.6035117
TCGA-EJ-7789,5242.81598099,41651.7592528
TCGA-CH-5761,7128.4390263,8638.66142214
TCGA-EJ-7328,886.908717359,37012.2776823
TCGA-HC-8262,19343.6743571,18060.1128757
TCGA-EJ-7794,7644.65087684,7569.60886149
TCGA-EJ-7327,4540.49846005,4536.18114786
TCGA-HC-8258,13137.1068435,6410.70844739
TCGA-EJ-7330,3036.24056741,4739.87281736
TCGA-EJ-7123,1116.09089165,8278.38718096
TCGA-G9-6348,11177.7928554,5070.77641827
TCGA-EJ-7781,4787.33358576,2530.2432597
TCGA-G9-6363,5051.51705476,20446.2879423
TCGA-HC-7738,15508.4924505,28401.8858852
TCGA-HC-8260,21595.4957966,46523.2517844
TCGA-EJ-7783,3475.22785187,13549.0934924
TCGA-J4-A83J,60519.2712737,154144.932277
TCGA-EJ-A8FO,10084.2090777,16082.5218564
TCGA-EJ-7317,4721.25252941,6373.16303534
TCGA-HC-7819,5311.53479454,23296.9553853
TCGA-EJ-7115,6471.49468379,4423.74894537
TCGA-EJ-7793,6866.53951451,4833.39943455
TCGA-HC-7747,6918.25706753,2218.89942034
TCGA-HC-7742,5568.92716846,10703.9006717
TCGA-CH-5767,7197.46624154,6894.29664386
TCGA-HC-7752,16789.1356924,191705.234032
TCGA-EJ-7331,6754.51133812,6423.60933375
TCGA-EJ-7785,7390.86732263,11796.5954679
TCGA-G9-6333,2617.57697705,10812.542943
TCGA-EJ-7321,13340.3381811,5663.14428531
TCGA-EJ-7797,7300.700483,12042.701567
TCGA-EJ-7314,1728.58058182,5302.593609000001
TCGA-G9-6351,3061.40020792,9001.90864152
TCGA-HC-7745,12847.8391862,20803.0497271
TCGA-HC-7737,3879.19091161,2964.0636918
TCGA-CH-5768,9667.31934499,9350.29278104
TCGA-G9-6384,21690.0156754,3060.30444674
TCGA-G9-6499,7459.13872835,7710.19311624
TCGA-EJ-7315,4754.14583126,751.3605260730002
TCGA-EJ-7786,5256.417125,12483.8547924
TCGA-HC-8259,16577.3134537,26912.7802407
TCGA-EJ-7782,15247.8763643,21159.2231542
