patient,paired_normal,paired_tumor
TCGA-BR-7704,4818.53815534,93665.0990847
TCGA-BR-6453,9798.68599621,10507.439267
TCGA-HU-A4GY,29980.044134500004,35754.3846383
TCGA-HU-A4GH,9224.1111755,25828.5783411
TCGA-HU-A4GC,7535.78628974,19101.5290977
TCGA-IN-7806,6969.88168916,63850.1285459
TCGA-IN-AB1X,11819.8715225,19456.3362914
TCGA-CG-5720,20127.2444393,6907.93791145
TCGA-HU-A4GP,9439.58067666,4856.80224498
TCGA-BR-7716,6132.21045746,4629.51532061
TCGA-BR-7715,45704.7530087,5804.97755717
TCGA-HU-8238,5821.79429447,10608.7588742
TCGA-IN-AB1V,10687.261447,24382.5181699
TCGA-BR-6802,18635.4765261,14418.4536146
TCGA-BR-6454,5214.74506415,18956.5404967
TCGA-IP-7968,11298.3857784,4573.1993142
TCGA-CG-5721,6350.8461444,20202.6579122
TCGA-BR-7851,11344.9671244,13817.9448421
TCGA-BR-8060,6720.7337249,23344.6028683
TCGA-CG-5722,8029.29622549,18463.7896236
TCGA-CG-5734,9260.46326239,7291.71223987
TCGA-IN-8663,11110.8367695,30886.4757008
TCGA-FP-7829,7948.83264166,25083.9790716
TCGA-BR-7717,22984.0146178,3988.96121467
TCGA-BR-6457,1910.93148355,3339.71552971
TCGA-FP-7735,4475.63088913,20775.9694749
TCGA-HU-A4HB,9388.69562638,55230.24408169999
