patient,paired_normal,paired_tumor
TCGA-E8-A2JQ,22873.9199697,36519.57971180001
TCGA-ET-A2N5,12098.80611,13591.5462847
TCGA-EL-A3ZK,13366.0885008,10676.9561576
TCGA-EL-A3ZG,8215.33713074,15436.1065133
TCGA-ET-A3DP,2793.91150804,6972.31757512
TCGA-ET-A2MX,16320.455406,12336.0809719
TCGA-BJ-A3PU,10381.7401658,25227.1952605
TCGA-EL-A3ZH,4794.16645825,20824.7648103
TCGA-EM-A1CU,7845.31958694,9595.09652187
TCGA-EM-A1CW,678.391073459,1788.28654431
TCGA-EL-A3T2,3372.51706336,13354.6144679
TCGA-EL-A3TA,5288.60383314,35076.0862776
TCGA-EM-A1YC,22287.8751483,917.584614492
TCGA-FY-A3TY,11492.0073089,8943.95240284
TCGA-EL-A3T1,10367.0350008,16936.78785
TCGA-EL-A3MW,915.479290028,12288.8835637
TCGA-EL-A3T6,5731.78087314,12979.9119637
TCGA-EL-A3GZ,2557.18374286,21742.0303569
TCGA-EL-A3H2,6269.94364575,10902.7004399
TCGA-EL-A3ZQ,54340.87476240001,37998.3816587
TCGA-EL-A3N3,8353.68753601,18206.6956503
TCGA-BJ-A2N8,4384.5143047,9333.10690404
TCGA-KS-A41J,17607.2786334,16169.4202454
TCGA-BJ-A28R,9094.34666692,7566.83489166
TCGA-GE-A2C6,8988.85638633,17970.1417926
TCGA-EL-A3T8,14296.0406222,25098.6661716
TCGA-EM-A1CV,3910.25572095,6630.49903928
TCGA-EL-A3ZP,14452.2785761,50642.32164069999
TCGA-EL-A3MY,3381.66364748,5225.03265645
TCGA-EL-A3ZM,9932.02357531,52123.7888884
TCGA-EL-A3N2,7091.83672464,14180.1093029
TCGA-EL-A3TB,9026.85056324,37844.3339331
TCGA-EL-A3T0,11610.7905114,11529.8133257
TCGA-BJ-A2N7,3537.2561504,7406.49119701
TCGA-DO-A1JZ,2153.74335402,16786.574769
TCGA-BJ-A2NA,5875.97923194,11195.8215535
TCGA-EL-A3ZT,23719.1430227,30414.815704900004
TCGA-EL-A3T7,8897.22686149,21049.986482
TCGA-EM-A3ST,25730.5147449,356847.9660860001
TCGA-EL-A3ZS,37907.403045,29341.115452900005
TCGA-EL-A3ZL,10252.6731874,63305.74591799999
TCGA-EL-A3MX,5921.36531358,85652.9846555
TCGA-BJ-A28X,40130.493013199986,13548.1650817
TCGA-EL-A3H1,3437.30611445,2429.18962841
TCGA-H2-A2K9,11063.7337446,8241.84981047
TCGA-BJ-A3PR,42607.050213699986,44409.524134900006
TCGA-KS-A41L,22206.6299647,45226.6945126
TCGA-EL-A3ZR,5461.41385082,29385.8151353
TCGA-EM-A1CS,8877.10466223,21828.107863
TCGA-EL-A3T3,6756.01832073,23644.8968273
TCGA-EL-A3ZO,9421.10157172,41055.0893081
TCGA-BJ-A2N9,6202.21018145,9966.20349659
TCGA-EM-A1CT,1668.07062611,13208.504163299998
TCGA-BJ-A290,7253.83715032,14879.516217299995
TCGA-BJ-A28W,11036.5807469,75297.0198515
TCGA-ET-A3DW,4131.79128761,12049.4155802
TCGA-EL-A3H7,4412.57292053,10342.4252905
TCGA-KS-A41I,29934.1672826,80096.9771162
